feature,importance_internal,importance_external,group
CT,0.19856845025063072,0.2184109653200666,CONTROL
MC,0.2289190121011368,0.2052929230351379,CONTROL
SA,0.18952140099373196,0.18143027377871995,CONTROL
SD,0.19564257173730187,0.20615107813682282,CONTROL
Vol,0.1873485649171987,0.18871475972925275,CONTROL
