feature,importance_internal,importance_external,group
CT,0.21261199017538288,0.2262487867498368,SZ
MC,0.23131564314533143,0.20151055468956516,SZ
SA,0.18176765721838337,0.17891173775258828,SZ
SD,0.19479998125965395,0.1998877136534099,SZ
Vol,0.17950472820124844,0.1934412071545999,SZ
