edge,presence_count,top20_count,group,n_instances,presence_frequency,overall_top20_frequency,conditional_top20_frequency
lh_bankssts -- rh_rostralmiddlefrontal,14,2.0,SZ,150,0.09333333333333334,0.013333333333333334,0.14285714285714285
lh_bankssts -- rh_superiorfrontal,33,1.0,SZ,150,0.22,0.006666666666666667,0.030303030303030304
lh_bankssts -- rh_superiorparietal,5,0.0,SZ,150,0.03333333333333333,0.0,0.0
lh_bankssts -- rh_superiortemporal,58,1.0,SZ,150,0.38666666666666666,0.006666666666666667,0.017241379310344827
lh_bankssts -- rh_supramarginal,18,0.0,SZ,150,0.12,0.0,0.0
lh_bankssts -- rh_transversetemporal,1,0.0,SZ,150,0.006666666666666667,0.0,0.0
lh_caudalanteriorcingulate -- lh_caudalmiddlefrontal,76,4.0,SZ,150,0.5066666666666667,0.02666666666666667,0.05263157894736842
lh_caudalanteriorcingulate -- lh_entorhinal,1,0.0,SZ,150,0.006666666666666667,0.0,0.0
lh_caudalanteriorcingulate -- lh_frontalpole,6,0.0,SZ,150,0.04,0.0,0.0
lh_caudalanteriorcingulate -- lh_fusiform,2,0.0,SZ,150,0.013333333333333334,0.0,0.0
lh_caudalanteriorcingulate -- lh_inferiorparietal,13,0.0,SZ,150,0.08666666666666667,0.0,0.0
lh_caudalanteriorcingulate -- lh_inferiortemporal,39,1.0,SZ,150,0.26,0.006666666666666667,0.02564102564102564
lh_caudalanteriorcingulate -- lh_insula,44,2.0,SZ,150,0.29333333333333333,0.013333333333333334,0.045454545454545456
lh_caudalanteriorcingulate -- lh_isthmuscingulate,91,7.0,SZ,150,0.6066666666666667,0.04666666666666667,0.07692307692307693
lh_caudalanteriorcingulate -- lh_lateraloccipital,9,0.0,SZ,150,0.06,0.0,0.0
lh_caudalanteriorcingulate -- lh_lateralorbitofrontal,16,0.0,SZ,150,0.10666666666666667,0.0,0.0
lh_caudalanteriorcingulate -- lh_lingual,1,0.0,SZ,150,0.006666666666666667,0.0,0.0
lh_caudalanteriorcingulate -- lh_medialorbitofrontal,4,0.0,SZ,150,0.02666666666666667,0.0,0.0
lh_caudalanteriorcingulate -- lh_middletemporal,70,4.0,SZ,150,0.4666666666666667,0.02666666666666667,0.05714285714285714
lh_caudalanteriorcingulate -- lh_paracentral,51,3.0,SZ,150,0.34,0.02,0.058823529411764705
lh_caudalanteriorcingulate -- lh_parahippocampal,8,0.0,SZ,150,0.05333333333333334,0.0,0.0
lh_caudalanteriorcingulate -- lh_parsopercularis,12,1.0,SZ,150,0.08,0.006666666666666667,0.08333333333333333
lh_caudalanteriorcingulate -- lh_parsorbitalis,3,0.0,SZ,150,0.02,0.0,0.0
lh_caudalanteriorcingulate -- lh_parstriangularis,55,5.0,SZ,150,0.36666666666666664,0.03333333333333333,0.09090909090909091
lh_caudalanteriorcingulate -- lh_pericalcarine,19,0.0,SZ,150,0.12666666666666668,0.0,0.0
lh_caudalanteriorcingulate -- lh_posteriorcingulate,109,6.0,SZ,150,0.7266666666666667,0.04,0.05504587155963303
lh_caudalanteriorcingulate -- lh_precentral,5,0.0,SZ,150,0.03333333333333333,0.0,0.0
lh_caudalanteriorcingulate -- lh_rostralanteriorcingulate,16,1.0,SZ,150,0.10666666666666667,0.006666666666666667,0.0625
lh_caudalanteriorcingulate -- lh_rostralmiddlefrontal,10,0.0,SZ,150,0.06666666666666667,0.0,0.0
lh_caudalanteriorcingulate -- lh_superiorfrontal,42,1.0,SZ,150,0.28,0.006666666666666667,0.023809523809523808
lh_caudalanteriorcingulate -- lh_superiorparietal,3,0.0,SZ,150,0.02,0.0,0.0
lh_caudalanteriorcingulate -- lh_superiortemporal,52,1.0,SZ,150,0.3466666666666667,0.006666666666666667,0.019230769230769232
lh_caudalanteriorcingulate -- lh_supramarginal,30,0.0,SZ,150,0.2,0.0,0.0
lh_caudalanteriorcingulate -- lh_transversetemporal,1,0.0,SZ,150,0.006666666666666667,0.0,0.0
lh_caudalanteriorcingulate -- rh_bankssts,124,10.0,SZ,150,0.8266666666666667,0.06666666666666667,0.08064516129032258
lh_caudalanteriorcingulate -- rh_caudalanteriorcingulate,107,3.0,SZ,150,0.7133333333333334,0.02,0.028037383177570093
lh_caudalanteriorcingulate -- rh_caudalmiddlefrontal,55,3.0,SZ,150,0.36666666666666664,0.02,0.05454545454545454
