edge,sz_selection_frequency,sz_mean_importance_share,ctrl_selection_frequency,ctrl_mean_importance_share,selection_frequency_difference,importance_share_difference
lh_rostralmiddlefrontal -- lh_superiorparietal,0.06,0.003325252188748285,0.04533333333333334,0.0034204369646703625,0.014666666666666661,-9.518477592207735e-05
rh_cuneus -- rh_lingual,0.06,0.0038426629617282298,0.04533333333333334,0.0036462854178596965,0.014666666666666661,0.0001963775438685333
lh_precuneus -- rh_entorhinal,0.06,0.003489619702633562,0.04533333333333334,0.0035110856803500924,0.014666666666666661,-2.1465977716530592e-05
lh_frontalpole -- rh_caudalanteriorcingulate,0.013333333333333334,0.0026199590828842206,0.0,0.0022702978108265215,0.013333333333333334,0.0003496612720576991
lh_postcentral -- lh_superiortemporal,0.013333333333333334,0.0037069278422847247,0.0,0.0017809221417787386,0.013333333333333334,0.001926005700505986
lh_caudalmiddlefrontal -- lh_middletemporal,0.02666666666666667,0.0031585063661030205,0.013333333333333334,0.003198441053733964,0.013333333333333334,-3.9934687630943655e-05
lh_superiortemporal -- rh_transversetemporal,0.013333333333333334,0.006662419785985974,0.0,0.0017204642556661973,0.013333333333333334,0.004941955530319777
lh_temporalpole -- rh_medialorbitofrontal,0.013333333333333334,0.0027053687959062377,0.0,0.002245133886715073,0.013333333333333334,0.00046023490919116453
lh_insula -- rh_lateralorbitofrontal,0.013333333333333334,0.0037487289427101853,0.0,0.0025226063466884997,0.013333333333333334,0.0012261225960216856
lh_frontalpole -- rh_medialorbitofrontal,0.013333333333333334,0.002968389304515934,0.0,0.003035560323808352,0.013333333333333334,-6.717101929241834e-05
lh_bankssts -- lh_rostralmiddlefrontal,0.013333333333333334,0.004570995172533119,0.0,0.001368373033693689,0.013333333333333334,0.00320262213883943
lh_inferiortemporal -- lh_precuneus,0.013333333333333334,0.003304381342452367,0.0,0.0014944658369045749,0.013333333333333334,0.0018099155055477923
lh_parsorbitalis -- lh_precuneus,0.02666666666666667,0.0032813140537843776,0.013333333333333334,0.003259945469076779,0.013333333333333334,2.1368584707598653e-05
lh_fusiform -- rh_lateraloccipital,0.013333333333333334,0.005587986417996439,0.0,0.002098761471996003,0.013333333333333334,0.0034892249460004364
lh_bankssts -- rh_rostralmiddlefrontal,0.013333333333333334,0.003289051272445795,0.0,0.0013801720635999428,0.013333333333333334,0.0019088792088458521
rh_parsopercularis -- rh_superiorfrontal,0.02666666666666667,0.0031133668150393544,0.013333333333333334,0.00298754111005534,0.013333333333333334,0.0001258257049840143
rh_cuneus -- rh_superiorparietal,0.02666666666666667,0.004089629402692718,0.013333333333333334,0.0031226129392766385,0.013333333333333334,0.0009670164634160792
lh_inferiorparietal -- lh_middletemporal,0.013333333333333334,0.003843599062662867,0.0,0.0034739856030983115,0.013333333333333334,0.00036961345956455565
lh_parsopercularis -- rh_bankssts,0.013333333333333334,0.0029363735568467934,0.0,0.0028877847806250377,0.013333333333333334,4.8588776221755725e-05
rh_fusiform -- rh_precuneus,0.013333333333333334,0.00394980096029024,0.0,0.0026737443055023084,0.013333333333333334,0.001276056654787932
rh_fusiform -- rh_inferiortemporal,0.013333333333333334,0.002628480901376223,0.0,0.0019647921000306035,0.013333333333333334,0.0006636888013456196
lh_parstriangularis -- rh_frontalpole,0.013333333333333334,0.005452501978701538,0.0,0.0019271407827344282,0.013333333333333334,0.003525361195967109
rh_precentral -- rh_superiortemporal,0.013333333333333334,0.005161092322859715,0.0,0.0014948268598487253,0.013333333333333334,0.003666265463010989
lh_medialorbitofrontal -- lh_transversetemporal,0.013333333333333334,0.005743659875105944,0.0,0.0015219260791709797,0.013333333333333334,0.004221733795934965
