fs_id,roi,CT,MC,Vol,SD,SA,n_vertices
ds004302_sub-01,lh_bankssts,2.4308524131774902,0.026852674782276154,2247.91845703125,3.615953207015991,981.30517578125,1447
ds004302_sub-01,lh_caudalanteriorcingulate,2.3106801509857178,-0.007172169629484415,1192.746826171875,2.061674118041992,462.8919372558594,685
ds004302_sub-01,lh_caudalmiddlefrontal,2.3934473991394043,-0.015087915584445,4725.4560546875,2.2258098125457764,1841.223388671875,2846
ds004302_sub-01,lh_cuneus,1.8319882154464722,-0.041310086846351624,3443.039306640625,-2.1689178943634033,1648.6436767578125,2472
ds004302_sub-01,lh_entorhinal,3.1264853477478027,-0.057866230607032776,2090.60693359375,-4.978870391845703,469.8875732421875,632
ds004302_sub-01,lh_fusiform,2.7685070037841797,-0.012342346832156181,8826.068359375,1.4353457689285278,2787.3173828125,4020
ds004302_sub-01,lh_inferiorparietal,2.380868911743164,-0.035786014050245285,10812.6484375,0.662592887878418,4082.295654296875,6080
ds004302_sub-01,lh_inferiortemporal,2.6590869426727295,-0.03429511561989784,10649.265625,-0.5562326908111572,3439.06494140625,4921
ds004302_sub-01,lh_isthmuscingulate,2.2882447242736816,-0.028418462723493576,2817.41357421875,0.1797657608985901,1077.636962890625,1517
ds004302_sub-01,lh_lateraloccipital,2.1798415184020996,-0.0387100987136364,9455.3515625,-1.6654452085494995,3892.82080078125,5817
ds004302_sub-01,lh_lateralorbitofrontal,2.638397693634033,-0.024319397285580635,6860.8232421875,-0.19059419631958008,2283.0048828125,3158
ds004302_sub-01,lh_lingual,2.035661220550537,-0.04889937862753868,7045.724609375,-0.6743265986442566,2943.11279296875,4363
ds004302_sub-01,lh_medialorbitofrontal,2.387449264526367,-0.060730256140232086,5152.1845703125,-2.263861894607544,1856.832763671875,2550
ds004302_sub-01,lh_middletemporal,2.761673927307129,-0.05652019754052162,11610.0244140625,-1.4281299114227295,3279.03564453125,4683
ds004302_sub-01,lh_parahippocampal,2.845787525177002,-0.053093213587999344,2410.906005859375,-0.3114934265613556,646.9144897460938,1013
ds004302_sub-01,lh_paracentral,2.368746280670166,-0.03589646890759468,2605.878173828125,-0.48924845457077026,994.6124267578125,1626
ds004302_sub-01,lh_parsopercularis,2.3876397609710693,-0.04014773666858673,3754.75146484375,0.22164084017276764,1358.82568359375,1973
ds004302_sub-01,lh_parsorbitalis,2.6405155658721924,-0.0957302451133728,2294.95263671875,-5.676583766937256,646.451904296875,862
ds004302_sub-01,lh_parstriangularis,2.3895130157470703,-0.018265359103679657,3063.8828125,-0.24649842083454132,1167.351806640625,1722
ds004302_sub-01,lh_pericalcarine,1.3664292097091675,0.045167114585638046,1972.2841796875,1.680511474609375,1402.1334228515625,2132
ds004302_sub-01,lh_postcentral,2.3110384941101074,-0.053632333874702454,10164.560546875,-0.9637948274612427,3795.083740234375,6075
ds004302_sub-01,lh_posteriorcingulate,2.2607321739196777,0.010518327355384827,2619.552490234375,2.5077362060546875,1006.8272705078125,1498
ds004302_sub-01,lh_precentral,2.6057162284851074,-0.03126116096973419,12762.4521484375,0.15599998831748962,4374.943359375,7369
ds004302_sub-01,lh_precuneus,2.217663526535034,-6.0176182159921154e-05,8626.1474609375,2.100969076156616,3716.755126953125,5418
ds004302_sub-01,lh_rostralanteriorcingulate,2.4545788764953613,-0.009532727301120758,1535.44384765625,1.6268843412399292,484.44183349609375,712
ds004302_sub-01,lh_rostralmiddlefrontal,2.1472043991088867,-0.02693425863981247,11294.86328125,0.1953335702419281,4681.01904296875,6420
ds004302_sub-01,lh_superiorfrontal,2.6555352210998535,-0.036893151700496674,18956.28515625,-1.0237717628479004,6056.5576171875,8983
ds004302_sub-01,lh_superiorparietal,2.1085045337677,-0.03923546522855759,12979.55078125,-0.38318634033203125,5542.806640625,8356
ds004302_sub-01,lh_superiortemporal,2.9238197803497314,-0.031606949865818024,11047.97265625,0.0913996547460556,3190.024169921875,4909
ds004302_sub-01,lh_supramarginal,2.6354339122772217,-0.02624911442399025,11547.794921875,0.22147096693515778,3936.28515625,5822
ds004302_sub-01,lh_frontalpole,2.21356201171875,-0.07711140811443329,685.7418212890625,-6.069921493530273,250.667236328125,322
ds004302_sub-01,lh_temporalpole,3.920830011367798,-0.12108539789915085,2977.173828125,-8.468998908996582,491.253662109375,613
ds004302_sub-01,lh_transversetemporal,2.5136406421661377,-0.06536538153886795,886.2251586914062,3.415691614151001,324.5514221191406,518
ds004302_sub-01,lh_insula,3.2211825847625732,0.043355416506528854,6100.08984375,6.125648021697998,1757.2646484375,2635
ds004302_sub-01,rh_bankssts,2.7554452419281006,0.04730932414531708,2178.793701171875,4.722614288330078,855.17626953125,1300
ds004302_sub-01,rh_caudalanteriorcingulate,2.2673351764678955,-0.0023234467953443527,1327.13720703125,1.6297727823257446,497.939453125,757
ds004302_sub-01,rh_caudalmiddlefrontal,2.4988467693328857,-0.027076296508312225,5235.37744140625,1.5464375019073486,1844.53955078125,2906
ds004302_sub-01,rh_cuneus,1.6775892972946167,-0.05607343837618828,2872.522705078125,-2.347916841506958,1581.522216796875,2343
ds004302_sub-01,rh_entorhinal,3.2834603786468506,-0.04586872458457947,1694.18896484375,-4.749805450439453,393.41339111328125,560
ds004302_sub-01,rh_fusiform,2.6776390075683594,-0.026330800727009773,10263.25,1.6747528314590454,3190.44287109375,4560
ds004302_sub-01,rh_inferiorparietal,2.4481372833251953,-0.023516280576586723,12249.62890625,0.9050813317298889,4557.04345703125,6466
ds004302_sub-01,rh_inferiortemporal,2.715459108352661,-0.04070442542433739,10565.072265625,-1.0438698530197144,3147.452392578125,4589
ds004302_sub-01,rh_isthmuscingulate,2.3180978298187256,-0.027937151491642,2689.02490234375,0.0617259219288826,967.9671630859375,1389
