family,representation,model,label,mean_roc_auc,sd_roc_auc,auc_repeat_0,auc_repeat_1,auc_repeat_2
Traditional ML,ROI,RF,ROI-RF,0.7047733333333334,0.026213930139018383,0.6780799999999999,0.70576,0.73048
GNN,MSN,GAT,MSN-GAT,0.6843199999999999,0.022206593615410674,0.6648,0.7084799999999999,0.6796800000000001
GNN,MSN,GATv2,MSN-GATv2,0.6807466666666667,0.03838077296425039,0.63856,0.7136,0.69008
GNN,MSN,GraphSAGE,MSN-SAGE,0.6707199999999999,0.01579630336502819,0.6616,0.68896,0.6616
Traditional ML,MSN,LR,MSN-LR,0.66496,0.0011200000000000099,0.66384,0.66608,0.66496
Traditional ML,ROI,LR,ROI-LR,0.6630400000000001,0.021405943099989798,0.6561600000000001,0.64592,0.6870400000000001
GNN,MIND,GAT,MIND-GAT,0.6609066666666666,0.04237745312466681,0.6267199999999999,0.70832,0.64768
GNN,MIND,GraphSAGE,MIND-SAGE,0.65712,0.030064676948206203,0.6244799999999999,0.68368,0.6632
GNN,MSN,GCN,MSN-GCN,0.6443200000000001,0.02883730916711895,0.6286400000000001,0.6776000000000001,0.6267199999999999
GNN,MIND,GCN,MIND-GCN,0.64304,0.03353632060915447,0.60512,0.6688,0.6552
GNN,MIND,GATv2,MIND-GATv2,0.6394133333333335,0.032618947459005024,0.6033600000000001,0.66688,0.648
Traditional ML,MIND,LR,MIND-LR,0.6277333333333334,0.010480101780676286,0.63824,0.62768,0.6172799999999999
Traditional ML,MSN,RF,MSN-RF,0.6228533333333333,0.015367567580242977,0.63936,0.6202399999999999,0.60896
Traditional ML,MSN,SVM,MSN-SVM,0.6095466666666667,0.01536111107092633,0.5921599999999999,0.6152,0.62128
Traditional ML,ROI,SVM,ROI-SVM,0.5941333333333334,0.03294187203747437,0.61504,0.6112000000000001,0.55616
GNN,MIND,GIN,MIND-GIN,0.5790933333333333,0.04262884156687035,0.5304,0.60968,0.5972
Traditional ML,MIND,RF,MIND-RF,0.5766133333333333,0.02127523756232426,0.60096,0.56728,0.5616000000000001
GNN,MSN,GIN,MSN-GIN,0.5650400000000001,0.0103713451393732,0.5720000000000001,0.5531200000000001,0.5700000000000001
Traditional ML,MIND,SVM,MIND-SVM,0.5624266666666665,0.024845034379797723,0.5896799999999999,0.5565599999999999,0.54104
