Comparison,Metric,Difference,95% CI lower,95% CI upper,P(delta > 0)
ROI-RF_minus_MSN-GAT,roc_auc,0.046086956521739,-0.07828260869565226,0.16956521739130437,0.7661
ROI-RF_minus_MSN-GAT,pr_auc,0.036121954294923486,-0.05631531890132141,0.12462468778351878,0.7693
ROI-RF_minus_MSN-GAT,balanced_accuracy,0.1313043478260869,0.009565217391304337,0.2565217391304348,0.9821
ROI-RF_minus_MIND-GAT,roc_auc,0.23652173913043473,0.09304347826086956,0.38,0.9996
ROI-RF_minus_MIND-GAT,pr_auc,0.18048142853634486,0.05522351126391581,0.2708105071957065,0.9983
ROI-RF_minus_MIND-GAT,balanced_accuracy,0.21652173913043482,0.1004347826086956,0.33652173913043487,0.9998
MSN-GAT_minus_MIND-GAT,roc_auc,0.19043478260869573,0.06695652173913047,0.3130434782608696,0.9986
MSN-GAT_minus_MIND-GAT,pr_auc,0.14435947424142137,0.022527207130959823,0.23793283735893964,0.9915
MSN-GAT_minus_MIND-GAT,balanced_accuracy,0.08521739130434791,-0.030869565217391315,0.1995652173913044,0.9265
