Model,ROC-AUC,ROC-AUC CI lower,ROC-AUC CI upper,PR-AUC,PR-AUC CI lower,PR-AUC CI upper,Balanced accuracy,Sensitivity,Specificity,Precision,F1,TN,FP,FN,TP
ROI-RF,0.6965217391304347,0.5695652173913044,0.8156521739130435,0.8274552824135005,0.7505668549726037,0.9016132957936341,0.6426086956521739,0.5652173913043478,0.72,0.7878787878787878,0.6582278481012658,18,7,20,26
MSN-GAT,0.6504347826086957,0.5165217391304348,0.7730434782608695,0.791333328118577,0.6993859613614575,0.8820505677507386,0.511304347826087,0.782608695652174,0.24,0.6545454545454545,0.7128712871287128,6,19,10,36
MIND-GAT,0.45999999999999996,0.3226086956521739,0.5991304347826087,0.6469738538771557,0.5683459890559222,0.7715591218475222,0.4260869565217391,0.6521739130434783,0.2,0.6,0.625,5,20,16,30
