group,feature,mean_importance_share,std_importance_share
ALL_SZ,CT,0.21151427417051002,0.041888246830613034
ALL_SZ,MC,0.2393200527613079,0.032791317986006076
ALL_SZ,SA,0.17565876370050845,0.024230580069396622
ALL_SZ,SD,0.19698741328155156,0.025938967767704754
ALL_SZ,Vol,0.17651949608612205,0.023874151175050932
ALL_CTRL,CT,0.19565821966255506,0.02968475892282662
ALL_CTRL,MC,0.23585105223531225,0.0322576821692872
ALL_CTRL,SA,0.182406772735604,0.02135431291915288
ALL_CTRL,SD,0.20552963430281637,0.027113920037423755
ALL_CTRL,Vol,0.1805543210637123,0.01941269346167609
TP,CT,0.22943192675430873,0.05020916022518578
TP,MC,0.2502719453133695,0.03243620359346634
TP,SA,0.16372427381134816,0.022026033141932664
TP,SD,0.18808591415073708,0.02516543711506508
TP,Vol,0.16848593997023642,0.02876130945145261
TN,CT,0.18725458724062613,0.011980580033357741
TN,MC,0.22934177403216027,0.027811427877746448
TN,SA,0.18838013333853004,0.015642359046253725
TN,SD,0.20933274972137503,0.026321862381344683
TN,Vol,0.1856907556673085,0.013082110878372476
