group,roi,topk_count,n_instances,selection_frequency,mean_importance_share,mean_rank
ALL_SZ,lh_bankssts,27,150,0.18,0.015938252817958326,30.873333333333335
ALL_SZ,lh_caudalanteriorcingulate,13,150,0.08666666666666667,0.013018417649546905,41.74666666666667
ALL_SZ,lh_caudalmiddlefrontal,16,150,0.10666666666666667,0.013514880474424113,35.4
ALL_SZ,lh_cuneus,42,150,0.28,0.0168146504463352,30.153333333333332
ALL_SZ,lh_entorhinal,22,150,0.14666666666666667,0.014610486967189263,33.60666666666667
ALL_SZ,lh_frontalpole,19,150,0.12666666666666668,0.013875653566945518,36.873333333333335
ALL_SZ,lh_fusiform,58,150,0.38666666666666666,0.01985593252219824,21.413333333333334
ALL_SZ,lh_inferiorparietal,17,150,0.11333333333333333,0.014141276785290957,34.21333333333333
ALL_SZ,lh_inferiortemporal,21,150,0.14,0.014416652534913513,38.42666666666667
ALL_SZ,lh_insula,14,150,0.09333333333333334,0.0136755872947942,37.78666666666667
ALL_SZ,lh_isthmuscingulate,18,150,0.12,0.01386600509444125,38.38666666666666
ALL_SZ,lh_lateraloccipital,21,150,0.14,0.014210202043613836,35.52
ALL_SZ,lh_lateralorbitofrontal,42,150,0.28,0.016838917562009795,30.82
ALL_SZ,lh_lingual,20,150,0.13333333333333333,0.014322404434956497,35.153333333333336
ALL_SZ,lh_medialorbitofrontal,31,150,0.20666666666666667,0.01611351517768286,31.813333333333333
ALL_SZ,lh_middletemporal,30,150,0.2,0.01574532167577997,31.253333333333334
ALL_SZ,lh_paracentral,16,150,0.10666666666666667,0.014408464382575786,34.9
ALL_SZ,lh_parahippocampal,13,150,0.08666666666666667,0.013274814805204664,40.913333333333334
ALL_SZ,lh_parsopercularis,27,150,0.18,0.016265099589000697,31.466666666666665
ALL_SZ,lh_parsorbitalis,20,150,0.13333333333333333,0.014024232694715503,37.22
ALL_SZ,lh_parstriangularis,18,150,0.12,0.013699906235911519,37.62
ALL_SZ,lh_pericalcarine,22,150,0.14666666666666667,0.01583592884026516,34.43333333333333
ALL_SZ,lh_postcentral,15,150,0.1,0.013449277632845048,36.64666666666667
ALL_SZ,lh_posteriorcingulate,12,150,0.08,0.013067588762188675,39.72
ALL_SZ,lh_precentral,11,150,0.07333333333333333,0.013830543618282475,35.14
ALL_SZ,lh_precuneus,14,150,0.09333333333333334,0.0145099333659042,34.013333333333335
ALL_SZ,lh_rostralanteriorcingulate,26,150,0.17333333333333334,0.014605217002958432,34.8
ALL_SZ,lh_rostralmiddlefrontal,21,150,0.14,0.014947198973873631,35.266666666666666
ALL_SZ,lh_superiorfrontal,10,150,0.06666666666666667,0.013212267229299598,35.333333333333336
ALL_SZ,lh_superiorparietal,10,150,0.06666666666666667,0.013687854637061925,35.75333333333333
ALL_SZ,lh_superiortemporal,22,150,0.14666666666666667,0.013984503947643718,36.846666666666664
ALL_SZ,lh_supramarginal,10,150,0.06666666666666667,0.013682881494896678,35.92666666666667
ALL_SZ,lh_temporalpole,29,150,0.19333333333333333,0.01440044433499654,35.86666666666667
ALL_SZ,lh_transversetemporal,42,150,0.28,0.018165617874841875,25.5
ALL_SZ,rh_bankssts,13,150,0.08666666666666667,0.013138354619502,37.1
ALL_SZ,rh_caudalanteriorcingulate,20,150,0.13333333333333333,0.014009776311689119,37.373333333333335
ALL_SZ,rh_caudalmiddlefrontal,17,150,0.11333333333333333,0.013824992524896568,35.126666666666665
ALL_SZ,rh_cuneus,19,150,0.12666666666666668,0.014214703218239534,32.85333333333333
ALL_SZ,rh_entorhinal,25,150,0.16666666666666666,0.01523882487260475,32.22666666666667
ALL_SZ,rh_frontalpole,16,150,0.10666666666666667,0.013952251012779625,35.84
ALL_SZ,rh_fusiform,51,150,0.34,0.019934263320133164,21.293333333333333
ALL_SZ,rh_inferiorparietal,17,150,0.11333333333333333,0.014999581213324002,33.67333333333333
ALL_SZ,rh_inferiortemporal,26,150,0.17333333333333334,0.014525520340363194,36.96666666666667
ALL_SZ,rh_insula,24,150,0.16,0.015364109425617185,32.25333333333333
ALL_SZ,rh_isthmuscingulate,13,150,0.08666666666666667,0.013113417167640288,36.666666666666664
ALL_SZ,rh_lateraloccipital,12,150,0.08,0.013666229564771027,38.74
ALL_SZ,rh_lateralorbitofrontal,31,150,0.20666666666666667,0.015319638770469688,34.66
ALL_SZ,rh_lingual,22,150,0.14666666666666667,0.014887182500738732,33.82
ALL_SZ,rh_medialorbitofrontal,26,150,0.17333333333333334,0.015558375719867113,31.913333333333334
ALL_SZ,rh_middletemporal,15,150,0.1,0.014569443756347642,33.28666666666667
ALL_SZ,rh_paracentral,22,150,0.14666666666666667,0.014372850347207278,36.08
